id,category,prompt,answer_numeric,unit,difficulty,reveal_text,source_label,source_url,reference_date,status,editorial_notes
BR-001,brasil,"Segundo o IBGE, qual era aproximadamente a área territorial do Brasil no cálculo de 2024?",8509379.576,"km²",medium,"Cerca de 8,51 milhões de km². O IBGE recalculou a área em 2024 e publicou 8.509.379,576 km².",IBGE,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/15761-areasdos-munivipios.html?c=2705101&t=destaques,2024-01-01,candidate,"No reveal visual, arredondar para 8,51 milhões; cálculo usa valor completo."
BR-002,brasil,"Quantos estados formam o Brasil, sem contar o Distrito Federal?",26,"estados",easy,"São 26 estados. Somando o Distrito Federal, o país tem 27 Unidades da Federação.",IBGE Educa,https://educa.ibge.gov.br/jovens/conheca-o-brasil/territorio/18310-divisao-politico-administrativa-e-regional.html,,candidate,"Boa pergunta de aquecimento; fácil de estimar e entender."
BR-003,brasil,"Em quantas grandes regiões o IBGE divide o Brasil?",5,"regiões",easy,"Cinco: Norte, Nordeste, Centro-Oeste, Sudeste e Sul.",IBGE Educa,https://educa.ibge.gov.br/jovens/conheca-o-brasil/territorio/18310-divisao-politico-administrativa-e-regional.html,,candidate,"Muito fácil; usar como respiro entre perguntas difíceis."
BR-004,brasil,"Na referência territorial divulgada pelo IBGE para 2021, quantos municípios o Brasil tinha?",5568,"municípios",hard,"Eram 5.568 municípios, além do Distrito Federal e do distrito insular de Fernando de Noronha na descrição territorial usada pelo IBGE.",IBGE Agência de Notícias,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/33079-ibge-atualiza-dados-geograficos-de-estados-e-municipios-brasileiros-2,2021-01-01,candidate,"Data precisa ficar explícita porque divisão territorial pode mudar."
BR-005,brasil,"Segundo o IBGE, qual era aproximadamente a área do Distrito Federal em 2025?",5760.785,"km²",hard,"Cerca de 5.761 km². O valor publicado para 2025 foi 5.760,785 km².",IBGE Cidades e Estados,https://www.ibge.gov.br/cidades-e-estados/df.html,2025-01-01,candidate,"Reveal arredondado; manter valor exato no banco."
MU-001,mundo,"Quantos metros de altura tem a Torre Eiffel atualmente, contando a antena?",330,"m",easy,"330 metros. Ela ganhou seis metros em 2022 com a instalação de uma nova antena de rádio digital.",Torre Eiffel — site oficial,https://www.toureiffel.paris/pt/o-monumento/numeros-chave,,candidate,"Enunciado precisa dizer que conta a antena."
MU-002,mundo,"Quantas toneladas pesa só a estrutura metálica da Torre Eiffel?",7300,"toneladas",hard,"A estrutura metálica pesa cerca de 7.300 toneladas; o peso total da torre é maior.",Torre Eiffel — site oficial,https://www.toureiffel.paris/pt/o-monumento/numeros-chave,,candidate,"Boa escala surpreendente; não confundir com peso total de 10.100 t."
MU-003,mundo,"Qual é aproximadamente o comprimento total da Golden Gate Bridge, incluindo as aproximações?",2737,"m",medium,"2.737 metros, ou cerca de 2,7 km de uma ponta à outra considerando as aproximações.",Golden Gate Bridge Highway and Transportation District,https://www.goldengate.org/exhibits/facts-and-figures-about-the-bridge/,,candidate,"Enunciado fixa total incluindo approaches."
MU-004,mundo,"Aproximadamente quantos quilômetros tem o Canal do Panamá entre os oceanos Atlântico e Pacífico?",80,"km",medium,"Cerca de 80 km. O canal corta uma das faixas mais estreitas do continente americano.",Autoridad del Canal de Panamá,https://pancanal.com/en/history-of-the-panama-canal/,,candidate,"Fonte usa aproximadamente; prompt também."
MU-005,mundo,"A quantos metros acima do nível do mar fica o Lago Gatún, usado na travessia do Canal do Panamá?",26,"m",hard,"Cerca de 26 metros. As eclusas funcionam como elevadores de água para levar os navios até esse nível.",Autoridad del Canal de Panamá,https://pancanal.com/en/history-of-the-panama-canal/,,candidate,"Reveal explica por que o número importa."
CN-001,ciencia_natureza,"Qual é aproximadamente o diâmetro da Terra no equador?",12756,"km",medium,"Cerca de 12.756 km no equador.",NASA Science,https://science.nasa.gov/earth/facts/,,candidate,"Boa referência mental; valor estável."
CN-002,ciencia_natureza,"Em média, quantos quilômetros separam a Terra da Lua?",384400,"km",medium,"Cerca de 384.400 km. Daria para enfileirar aproximadamente 30 Terras nesse espaço.",NASA Science,https://science.nasa.gov/moon/facts/,,candidate,"Reveal forte; manter 'em média'."
CN-003,ciencia_natureza,"Qual é aproximadamente o raio da Lua?",1740,"km",hard,"Cerca de 1.740 km. A Lua tem menos de um terço da largura da Terra.",NASA Science,https://science.nasa.gov/moon/facts/,,candidate,"Boa depois de pergunta de distância, mas não na mesma partida se possível."
CN-004,ciencia_natureza,"Segundo a NASA, qual é aproximadamente a distância média da Terra ao Sol?",150196428,"km",hard,"Cerca de 150 milhões de km. Essa distância é a base da unidade astronômica.",NASA Science,https://science.nasa.gov/earth/facts/,,candidate,"No reveal usar 150 milhões para leitura; cálculo usa valor publicado."
CN-005,ciencia_natureza,"Qual é a velocidade exata da luz no vácuo?",299792458,"m/s",hard,"299.792.458 metros por segundo. Esse valor é definido exatamente no Sistema Internacional.",NIST,https://www.nist.gov/pml/special-publication-811/nist-guide-si-chapter-7-rules-and-style-conventions-expressing-values,,candidate,"Apesar de exata, funciona por escala; interface deve aceitar número grande confortavelmente."
TE-001,tecnologia,"Quantas polegadas tinha a tela do primeiro iPhone apresentado em 2007?",3.5,"polegadas",easy,"3,5 polegadas. Na época a Apple descrevia isso como uma tela widescreen grande para um aparelho de bolso.",Apple Newsroom,https://www.apple.com/br/newsroom/2007/01/09Apple-Reinvents-the-Phone-with-iPhone/,2007-01-09,candidate,"Pergunta histórica, estável."
TE-002,tecnologia,"Quantos gigabytes tinha a versão mais barata do primeiro iPhone anunciada em 2007?",4,"GB",medium,"4 GB. O modelo inicial também foi anunciado em versão de 8 GB.",Apple Newsroom,https://www.apple.com/newsroom/2007/01/09Apple-Reinvents-the-Phone-with-iPhone/,2007-01-09,candidate,"Deixar claro que é versão mais barata anunciada."
TE-003,tecnologia,"Qual era o preço anunciado nos EUA para o iPhone original de 4 GB em janeiro de 2007?",499,"US$",hard,"US$ 499 para o modelo de 4 GB no anúncio original.",Apple Newsroom,https://www.apple.com/newsroom/2007/01/09Apple-Reinvents-the-Phone-with-iPhone/,2007-01-09,candidate,"Preço histórico; data explícita."
TE-004,tecnologia,"Quantos dias o primeiro iPhone levou para atingir um milhão de unidades vendidas?",74,"dias",hard,"74 dias. A Apple anunciou o milionésimo iPhone em setembro de 2007.",Apple Newsroom,https://www.apple.com/newsroom/2007/09/10Apple-Sells-One-Millionth-iPhone/,2007-09-10,candidate,"Boa curiosidade histórica."
TE-005,tecnologia,"Aproximadamente quantas toneladas pesava o computador ENIAC?",30,"toneladas",medium,"Cerca de 30 toneladas. O ENIAC também ocupava mais de 1.500 pés quadrados de espaço.",Computer History Museum,https://www.computerhistory.org/tdih/february/14/,,candidate,"Pergunta excelente de escala absurda comparada a computadores atuais."
CH-001,corpo_humano,"Quantos ossos são tradicionalmente contados no esqueleto humano adulto?",206,"ossos",easy,"206 é a contagem tradicional do esqueleto adulto, embora existam variações anatômicas entre pessoas.",NCBI Bookshelf,https://ncbi.nlm.nih.gov/books/NBK441968/?report=classic,,candidate,"Reveal precisa mencionar variação para não vender falsa precisão biológica."
CH-002,corpo_humano,"Aproximadamente quantos ossos um bebê tem ao nascer antes de vários deles se fundirem?",270,"ossos",medium,"Cerca de 270. Muitos se fundem durante o crescimento até chegar à contagem adulta tradicional de aproximadamente 206.",NCBI Bookshelf,https://ncbi.nlm.nih.gov/books/NBK441968/?report=classic,,candidate,"Aproximadamente é importante."
CH-003,corpo_humano,"Quantos ossos formam o esqueleto apendicular de um adulto na contagem anatômica tradicional?",126,"ossos",hard,"126 ossos fazem parte do esqueleto apendicular, que inclui membros e cinturas escapular e pélvica.",NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/sites/books/NBK535397/,,candidate,"Pode ser hard, mas ainda estimável a partir de 206."
CH-004,corpo_humano,"No topo da faixa média citada pelo National Eye Institute, quantas vezes uma pessoa pisca por minuto?",20,"piscadas/min",medium,"A faixa média citada é de cerca de 15 a 20 piscadas por minuto.",National Eye Institute,https://www.nei.nih.gov/eye-health-information/healthy-vision/nei-for-kids/visual-system,,candidate,"Pergunta usa topo da faixa para manter resposta numérica única; revisar se fica natural."
CH-005,corpo_humano,"Aproximadamente quantos litros de sangue um adulto médio tem no corpo?",5,"L",medium,"Mais de cinco litros é uma boa ordem de grandeza para um adulto médio.",NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK2263/?report=reader,,candidate,"Fonte diz 'more than 5 liters'; tratar resposta como aproximação."
ES-001,esportes,"Qual é o comprimento recomendado pela FIFA para um campo de futebol de padrão internacional?",105,"m",easy,"105 metros de comprimento. A recomendação da FIFA combina isso com 68 metros de largura.",FIFA,https://inside.fifa.com/en/innovation/stadium-guidelines/technical-guidelines/stadiums-guidelines/pitch-dimensions-and-surrounding-areas,,candidate,"Não confundir com toda faixa permitida pelas Laws of the Game; pergunta fala recomendação FIFA."
ES-002,esportes,"Qual é a largura recomendada pela FIFA para esse mesmo campo de futebol?",68,"m",medium,"68 metros de largura para a recomendação de 105 x 68 m.",FIFA,https://inside.fifa.com/en/innovation/stadium-guidelines/technical-guidelines/stadiums-guidelines/pitch-dimensions-and-surrounding-areas,,candidate,"Evitar ES-001 e ES-002 na mesma partida."
ES-003,esportes,"Quantos pés de comprimento tem uma quadra oficial da NBA?",94,"pés",medium,"94 pés de comprimento, com 50 pés de largura.",NBA,https://jr.nba.com/interactive-court/,,candidate,"Unidade em pés porque é a referência oficial americana; interface pode mostrar conversão no reveal."
ES-004,esportes,"Quantos segundos dura o relógio de arremesso usado na NBA?",24,"s",easy,"24 segundos. O mesmo valor é usado na NBA G League.",NBA G League,https://gleague.nba.com/faq,,candidate,"Pergunta conhecida, boa para easy."
